Depmap ID,"RNAi (Achilles, DEMETER2)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000004,-0.9050154448664001,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,5.808899839257769,Other
ACH-000003,-1.1113126829442346,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.900142260359816,Other
ACH-000002,-0.8393502659432911,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.46532151358055,Other
ACH-000466,-0.8406579849982831,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.602587527342561,Other
ACH-000505,-0.8453112039139141,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma,5.733354340613827,Other
ACH-000499,-1.1963101617996683,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma,5.2861418728343015,Other
ACH-000496,-0.9050546063236292,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.096346198993175,Other
ACH-000495,-0.8365913596494099,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.307428525192248,Other
ACH-000494,-0.8654924330337099,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous,5.287989350408949,Other
ACH-000491,-0.9121143778610814,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.489928219405183,Other
ACH-000490,-0.8437092389983706,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,4.702103406629387,Other
ACH-000488,-1.0403868780907013,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.175923742063755,Other
ACH-000487,-0.949945484481324,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes,5.280585202564472,Other
ACH-000485,-0.7129973085289635,GSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.220329954879555,Other
ACH-000481,-1.0516628262196785,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.765004246250036,Other
ACH-000479,-1.1909221804972971,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma,4.375734538583156,Other
