gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
FAM105A	260.1788	-0.4638	0.3364	0.135	0.2377
FAM105B	795.3265	-1.4712	0.2572	0	0
FAM106A	9.1585	-0.2469	0.7912	0.5616	0.6948
FAM106B	0.6952	-0.1082	0.9489	0.5582	NA
FAM107A	19.6334	0.2728	0.6781	0.5513	0.6864
FAM107B	2845.0131	-1.0681	0.2282	0	0
FAM109A	233.2389	-0.9605	0.3612	0.0035	0.0105
FAM109B	80.8553	-1.7544	0.564	1e-04	5e-04
FAM110A	187.0893	-2.498	0.388	0	0
FAM110B	2.7738	-0.4401	0.94	0.1137	NA
FAM110C	1.2903	0.1687	0.9382	0.4529	NA
FAM110D	2.3116	-0.0011	0.9203	0.9967	NA
FAM111A	874.184	-1.868	0.2447	0	0
FAM111B	668.8159	-1.1832	0.3408	2e-04	7e-04
FAM114A1	1318.9992	0.219	0.2104	0.2831	0.4225
FAM114A2	200.5394	0.0605	0.3496	0.8502	0.9048
FAM115A	1603.1189	-0.024	0.2054	0.9044	0.9413
FAM115C	54.0147	0.3782	0.514	0.3687	0.5143
FAM117A	30.438	-0.244	0.6065	0.5886	0.7166
FAM117B	31.9764	-1.9516	0.7853	2e-04	7e-04
FAM118A	175.2734	-2.354	0.4037	0	0
FAM118B	278.0006	-1.2703	0.3116	0	1e-04
FAM120A	10008.5741	0.9316	0.1901	0	0
FAM120AOS	592.3672	0.2414	0.2444	0.3031	0.4452
FAM120B	688.9201	-0.7029	0.2511	0.0034	0.0103
FAM120C	229.381	0.4988	0.4361	0.1885	0.3101
FAM122A	243.8301	-0.8812	0.3155	0.0027	0.0084
FAM122B	2360.9199	0.4092	0.2085	0.0431	0.0931
FAM122C	57.2268	0.3332	0.5037	0.4231	0.5686
FAM124A	36.2905	-0.2322	0.5808	0.6017	0.7265
FAM124B	0.2883	0.0612	0.9486	0.7344	NA
FAM126A	1018.67	-1.1432	0.2272	0	0
FAM126B	270.3821	-2.0103	0.3266	0	0
FAM127A	2930.1452	1.2431	0.2266	0	0
FAM127B	1655.688	1.1297	0.2311	0	0
FAM127C	1248.1019	0.991	0.2337	0	1e-04
