Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,LKB1,STK11,22,1000
MEL-0495(R)Pharmaron-2nd Batch,LOK,STK10,70,1000
MEL-0495(R)Pharmaron-2nd Batch,LRRK2,LRRK2,2,1000
MEL-0495(R)Pharmaron-2nd Batch,LRRK2(G2019S),LRRK2,27,1000
MEL-0495(R)Pharmaron-2nd Batch,LTK,LTK,18,1000
MEL-0495(R)Pharmaron-2nd Batch,LYN,LYN,22,1000
MEL-0495(R)Pharmaron-2nd Batch,LZK,MAP3K13,5,1000
MEL-0495(R)Pharmaron-2nd Batch,MAK,MAK,43,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP3K1,MAP3K1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP3K15,MAP3K15,7,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP3K2,MAP3K2,33,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP3K3,MAP3K3,21,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP3K4,MAP3K4,35,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP4K2,MAP4K2,63,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP4K3,MAP4K3,12,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP4K4,MAP4K4,33,1000
MEL-0495(R)Pharmaron-2nd Batch,MAP4K5,MAP4K5,18,1000
MEL-0495(R)Pharmaron-2nd Batch,MAPKAPK2,MAPKAPK2,0,1000
MEL-0495(R)Pharmaron-2nd Batch,MAPKAPK5,MAPKAPK5,0,1000
MEL-0495(R)Pharmaron-2nd Batch,MARK1,MARK1,30,1000
MEL-0495(R)Pharmaron-2nd Batch,MARK2,MARK2,48,1000
MEL-0495(R)Pharmaron-2nd Batch,MARK3,MARK3,33,1000
MEL-0495(R)Pharmaron-2nd Batch,MARK4,MARK4,30,1000
MEL-0495(R)Pharmaron-2nd Batch,MAST1,MAST1,33,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK1,MAP2K1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK2,MAP2K2,13,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK3,MAP2K3,67,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK4,MAP2K4,12,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK5,MAP2K5,60,1000
MEL-0495(R)Pharmaron-2nd Batch,MEK6,MAP2K6,79,1000
MEL-0495(R)Pharmaron-2nd Batch,MELK,MELK,20,1000
MEL-0495(R)Pharmaron-2nd Batch,MERTK,MERTK,12,1000
MEL-0495(R)Pharmaron-2nd Batch,MET,MET,4,1000
MEL-0495(R)Pharmaron-2nd Batch,MET(M1250T),MET,34,1000
MEL-0495(R)Pharmaron-2nd Batch,MET(Y1235D),MET,21,1000
MEL-0495(R)Pharmaron-2nd Batch,MINK,MINK1,36,1000
MEL-0495(R)Pharmaron-2nd Batch,MKK7,MAP2K7,4,1000
MEL-0495(R)Pharmaron-2nd Batch,MKNK1,MKNK1,12,1000
MEL-0495(R)Pharmaron-2nd Batch,MKNK2,MKNK2,35,1000
MEL-0495(R)Pharmaron-2nd Batch,MLCK,MYLK3,57,1000
MEL-0495(R)Pharmaron-2nd Batch,MLK1,MAP3K9,23,1000
MEL-0495(R)Pharmaron-2nd Batch,MLK2,MAP3K10,38,1000
MEL-0495(R)Pharmaron-2nd Batch,MLK3,MAP3K11,29,1000
MEL-0495(R)Pharmaron-2nd Batch,MRCKA,CDC42BPA,20,1000
MEL-0495(R)Pharmaron-2nd Batch,MRCKB,CDC42BPB,11,1000
MEL-0495(R)Pharmaron-2nd Batch,MST1,STK4,4,1000
MEL-0495(R)Pharmaron-2nd Batch,MST1R,MST1R,26,1000
MEL-0495(R)Pharmaron-2nd Batch,MST2,STK3,45,1000
MEL-0495(R)Pharmaron-2nd Batch,MST3,STK24,42,1000
MEL-0495(R)Pharmaron-2nd Batch,MST4,MST4,25,1000
MEL-0495(R)Pharmaron-2nd Batch,MTOR,MTOR,36,1000
MEL-0495(R)Pharmaron-2nd Batch,MUSK,MUSK,34,1000
MEL-0495(R)Pharmaron-2nd Batch,MYLK,MYLK,34,1000
MEL-0495(R)Pharmaron-2nd Batch,MYLK2,MYLK2,40,1000
