cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
UBLC1,Low Expression,UBLC1,0.109689677,-0.20155502,-0.166727817,-2.722920897,-3.850706441,-4.194124403,-4.408324538,-4.552055941
BICR16,Low Expression,BICR16,-0.335098968,-0.255796968,-1.685684451,-3.561761767,-2.887936138,-5.483200623,-3.969754439,-4.367773145
BICR56,Low Expression,BICR56,0.083219302,-0.577225959,0.235406047,-1.590531805,-4.188960229,-2.890092152,-4.127573899,-3.733075496
SUPT11,High Expression,SUPT11,-0.080997984,-0.106318107,-0.307469941,-1.330834354,-3.328363913,-4.731921756,-3.800506072,-3.391969851
YD8,High Expression,YD8,0.052489699,-0.373141323,0.126583046,-0.632709711,-3.422840956,-3.053191807,-4.134472756,-4.079690679
YD10B,Medium Expression,YD10B,0.220601161,0.064859167,-0.118985723,-1.531516797,-3.151602454,-3.220811476,-4.103067416,-3.132486323
YD15,High Expression,YD15,-0.039890301,0.083459168,0.359931137,-0.602302125,-3.368382374,-3.790281568,-3.662047309,-3.839624999
YD38,High Expression,YD38,0.412076503,-0.365478297,0.037008799,-2.030777078,-4.059020291,-4.427518492,-4.266684112,-3.669584928
PECAPJ49,Low Expression,PECAPJ49,-0.009413922,-0.120639106,-0.032271748,-3.260669194,-3.413256779,-4.072162267,-4.043467992,-3.844304171
UMUC1,Low Expression,UMUC1,0.031623534,-0.127024646,-0.048305391,-3.605249521,-3.79722558,-4.12399868,-4.027164421,-4.006482175
H103,High Expression,H103,-0.200237871,-0.172274465,0.204854127,-1.801695427,-3.375340483,-4.479122871,-4.285630015,-4.741662051
H357,High Expression,H357,0.056055689,-0.118910137,0.358936405,-1.592117864,-4.650472869,-4.205772862,-4.146196201,-4.24949738
H376,Medium Expression,H376,-0.020873106,-0.117833839,-0.28701806,-2.470586215,-4.493400015,-3.235052382,-4.151091479,-3.772600165
H413,High Expression,H413,0.016590342,-0.348819586,-0.112620529,-1.406001133,-3.045812916,-2.36814786,-3.9516627,-3.465301428
SNU61,Low Expression,SNU61,-0.251172826,-0.111527342,-0.003511075,-2.047667063,-4.576726951,-5.351164851,-4.468397448,-3.756871107
SNU638,High Expression,SNU638,-0.751539653,-0.158080451,-0.669070449,-2.88626301,-2.578389147,-3.414119549,-3.380791517,-2.631826754
SNU685,Medium Expression,SNU685,0.109173483,-0.549304069,0.139693928,-2.2032834,-3.775624012,-4.110582987,-3.979120985,-4.655092426
CMLT1,High Expression,CMLT1,0.152098092,-0.243318697,0.064444209,-2.682876696,-4.168582679,-3.733116014,-3.596827084,-3.893738459
HCC95,Medium Expression,HCC95,0.126886964,0.200441249,-0.076527437,-2.91478525,-3.081009791,-4.035458147,-3.866077583,-3.222389829
H157,High Expression,H157,0.453698126,-0.216813994,0.049379141,-0.565099517,-3.915859084,-3.48097613,-5.242498649,-5.061162211
COV318,High Expression,COV318,-0.107552876,0.128032057,-0.087465137,-1.568598079,-2.863346607,-3.850107796,-3.394184224,-3.105754635
COV644,Medium Expression,COV644,-0.09338831,-0.109325866,0.40490854,-1.728945739,-4.047497963,-4.810924084,-4.368762956,-4.163897328
COV434,Medium Expression,COV434,0.088949808,0.355144612,-0.947968033,-3.624399329,-2.656406982,-2.708824867,-3.491473955,-3.437656998
COV362,Medium Expression,COV362,0.086412891,0.297844272,0.290032619,-1.032679106,-2.819007386,-3.781604187,-3.688497167,-3.427058276
HCC1195,Low Expression,HCC1195,-0.196961468,0.103780141,-0.55688963,-2.691063415,-3.546881347,-2.927046411,-3.034408827,-3.63665323
HCC1359,High Expression,HCC1359,0.236026495,-0.597389709,0.277527012,-0.920376481,-4.144013989,-3.644809563,-3.648834554,-4.320573232
HCC1438,Medium Expression,HCC1438,0.085133076,-0.039503884,0.032820032,-0.880839213,-3.542276223,-3.81855372,-4.361910351,-3.631533514
SNU719,High Expression,SNU719,0.104470973,0.010268169,-0.317644868,-3.444305488,-4.099956062,-3.748397056,-4.045146971,-4.030924232
HCC2108,High Expression,HCC2108,-0.375254341,-0.008076627,-0.162171072,-2.739192612,-3.715805359,-3.128195555,-3.631551694,-4.031387301
SUSA,Medium Expression,SUSA,0.313110804,-0.584797897,-0.237552202,-4.160230463,-4.260824721,-3.349716227,-3.778002343,-3.777606428
1618K,High Expression,1618K,0.074377707,0.28259073,-0.232855697,-2.673817403,-3.993843355,-4.803052126,-4.359540901,-4.396750131
SNU761,High Expression,SNU761,0.413125287,0.272503585,-0.20190716,-0.523642074,-3.423782698,-3.966305728,-4.009672669,-4.964368666
253J,Medium Expression,253J,-0.119261617,0.14340469,-0.134587949,-1.170044998,-2.910038164,-3.365395261,-3.686310902,-3.241666999
253JBV,High Expression,253JBV,-0.237785523,0.237184879,0.175319318,-1.263896353,-3.972232825,-3.53462449,-3.651834014,-3.579989917
ANGMCSS,High Expression,ANGMCSS,-0.297158265,-0.052806996,-0.003686189,-0.852458568,-1.892743024,-4.304118883,-3.605565312,-3.3949972
KARPAS1718,High Expression,KARPAS1718,-0.183219404,-0.062056734,-0.382920853,-1.728474213,-2.46387597,-2.712932733,-3.051926394,-2.951811121
UMUC5,High Expression,UMUC5,-0.179221561,0.177984363,-0.017297804,-1.931546299,-3.492002487,-3.310928443,-3.274553635,-3.759784025
UMUC6,Medium Expression,UMUC6,-0.101521899,-0.269028485,-0.606618881,-3.51187275,-3.060470999,-4.768662519,-3.358518394,-3.139217031
